0.60439,0.70263,31.204,0.69689
0.61551,0.712,31.311,0.70619
0.66805,0.70511,31.264,0.69915
0.6088,0.7023,31.209,0.69812
0.59505,0.70543,31.351,0.69999
0.634,0.71815,31.484,0.71362
0.59846,0.71313,31.551,0.7075
0.61913,0.71109,31.238,0.70659
0.6197,0.72704,31.466,0.72105
0.64895,0.7341,32.29,0.72528
0.61713,0.70114,31.081,0.69619
0.61045,0.71754,31.442,0.71162
0.59772,0.71457,31.327,0.70985
0.60762,0.70657,31.393,0.70139
0.64369,0.72209,31.174,0.7181
0.61924,0.71286,31.386,0.70744
0.02091,0.0096452,0.28203,0.0091277
