0.80161,0.7275,0.68134,0.89824
0.80786,0.67688,0.66204,0.88846
0.78339,0.67865,0.65794,0.88196
0.8132,0.67243,0.658,0.88476
0.9749,0.88641,11.786,1.13
0.76495,0.66453,0.63164,0.87005
0.85549,0.70782,2.4532,0.93356
0.80781,0.66913,0.61357,0.89538
0.83474,0.71694,2.5145,0.93799
1.027,0.89214,14.428,1.1875
0.81628,0.72591,2.4651,0.93795
0.7837,0.689,0.65628,0.89315
0.78402,0.67734,0.64902,0.88379
0.79874,0.66498,0.63387,0.90593
0.75606,0.6621,0.65444,0.86963
0.82732,0.71412,2.6763,0.93323
0.075465,0.074504,4.3282,0.094837
