0.051727,1.0034,0.5713,1.0035
0.050064,0.9907,0.57298,1.0022
0.050952,0.47132,0.57251,1.002
0.050727,0.4704,0.57052,1.0001
0.046722,0.47183,0.57172,1.0036
0.051269,0.46947,0.56797,0.99899
0.049637,0.96559,0.57087,1.0000
0.04868,0.47034,0.57202,1.0031
0.054607,0.47076,0.56876,1.0006
0.048937,0.47055,0.57009,1.001
0.048219,0.46709,0.56728,0.99842
0.049806,0.68187,0.57115,0.996
0.048814,0.4715,0.57265,1.0037
0.050751,0.63919,0.57088,1.0001
0.049784,0.47006,0.56995,1.0015
0.050046,0.59894,0.57071,1.001
0.0018165,0.21136,0.0016805,0.0021706
