0.83529,1.0103,2.7173,1.0894
0.76097,0.98052,2.5845,1.0489
0.75872,0.99798,2.5476,1.0625
0.78161,0.94059,2.6566,1.0041
0.75476,1.0035,2.6978,1.0433
0.79261,0.98376,2.6937,1.0466
0.76871,0.96116,2.6527,1.001
0.72533,0.9424,2.643,0.99747
0.72541,0.95862,2.6133,1.0222
0.78409,0.959,2.6299,1.0168
0.78852,0.92867,2.8258,0.98439
0.80303,0.95839,2.6194,0.99102
0.74277,1.0194,2.6055,1.0504
0.82424,0.99724,2.7882,1.0921
0.83703,1.0392,2.6437,1.0661
0.77887,0.97872,2.6613,1.0344
0.03582,0.032143,0.073888,0.034925
